Citing ID,Citing Venue Name,Citing Venue SciMap ID,Citing Publication Year,Cited ID,Cited Venue Name,Cited Venue SciMap ID,Cited Publication Year
2969970780,biorxiv,NA,2019,177360280,modern pathology,13179,1990
2969970780,biorxiv,NA,2019,177360280,modern pathology,13179,1990
2969970780,biorxiv,NA,2019,1859257957,the journal of pathology,NA,2014
2969970780,biorxiv,NA,2019,1859257957,the journal of pathology,NA,2014
2969970780,biorxiv,NA,2019,1965092590,computer physics communications,4211,2010
2969970780,biorxiv,NA,2019,1965092590,computer physics communications,4211,2010
2969970780,biorxiv,NA,2019,1966107523,immunity,7878,2013
2969970780,biorxiv,NA,2019,1966107523,immunity,7878,2013
2969970780,biorxiv,NA,2019,1971622516,european journal of cancer,5871,2005
2969970780,biorxiv,NA,2019,1971622516,european journal of cancer,5871,2005
2969970780,biorxiv,NA,2019,1984650310,cellular & molecular immunology,3352,2011
2969970780,biorxiv,NA,2019,1984650310,cellular & molecular immunology,3352,2011
2969970780,biorxiv,NA,2019,2004630197,science,17311,2011
2969970780,biorxiv,NA,2019,2004630197,science,17311,2011
2969970780,biorxiv,NA,2019,2008929650,statistical applications in genetics and molecular biology,17973,2009
2969970780,biorxiv,NA,2019,2008929650,statistical applications in genetics and molecular biology,17973,2009
2969970780,biorxiv,NA,2019,2015255108,proceedings of the national academy of sciences of the united states of america,15868,2013
2969970780,biorxiv,NA,2019,2015255108,proceedings of the national academy of sciences of the united states of america,15868,2013
2969970780,biorxiv,NA,2019,2035189255,nature reviews cancer,13464,2012
2969970780,biorxiv,NA,2019,2035189255,nature reviews cancer,13464,2012
2969970780,biorxiv,NA,2019,2035252444,nature,13439,2013
2969970780,biorxiv,NA,2019,2035252444,nature,13439,2013
2969970780,biorxiv,NA,2019,2042699075,nature immunology,13455,2013
2969970780,biorxiv,NA,2019,2042699075,nature immunology,13455,2013
2969970780,biorxiv,NA,2019,2043565262,nature medicine,13457,2014
2969970780,biorxiv,NA,2019,2043565262,nature medicine,13457,2014
2969970780,biorxiv,NA,2019,2049491375,nature reviews cancer,13464,2012
2969970780,biorxiv,NA,2019,2049491375,nature reviews cancer,13464,2012
2969970780,biorxiv,NA,2019,2053129129,nature methods,13458,2014
2969970780,biorxiv,NA,2019,2053129129,nature methods,13458,2014
2969970780,biorxiv,NA,2019,2060469376,science,17311,2015
2969970780,biorxiv,NA,2019,2060469376,science,17311,2015
2969970780,biorxiv,NA,2019,2072000804,human pathology,7463,2013
2969970780,biorxiv,NA,2019,2072000804,human pathology,7463,2013
2969970780,biorxiv,NA,2019,2093608608,proceedings of the national academy of sciences of the united states of america,15868,2005
2969970780,biorxiv,NA,2019,2093608608,proceedings of the national academy of sciences of the united states of america,15868,2005
2969970780,biorxiv,NA,2019,2100235303,neural computation,13567,2004
2969970780,biorxiv,NA,2019,2100235303,neural computation,13567,2004
2969970780,biorxiv,NA,2019,2101234009,journal of machine learning research,10714,2011
2969970780,biorxiv,NA,2019,2101234009,journal of machine learning research,10714,2011
2969970780,biorxiv,NA,2019,2113328646,arxiv statistics theory,NA,2010
2969970780,biorxiv,NA,2019,2113328646,arxiv statistics theory,NA,2010
2969970780,biorxiv,NA,2019,2114319457,nature biotechnology,13440,2006
2969970780,biorxiv,NA,2019,2114319457,nature biotechnology,13440,2006
2969970780,biorxiv,NA,2019,2116407404,plos one,14924,2012
2969970780,biorxiv,NA,2019,2116407404,plos one,14924,2012
2969970780,biorxiv,NA,2019,2117692326,cell,3323,2011
2969970780,biorxiv,NA,2019,2117692326,cell,3323,2011
2969970780,biorxiv,NA,2019,2117852776,NA,NA,2007
